Linux 6.8.0-49-generic (samoy-pc) 	12/10/2024 	_x86_64_	(12 CPU)

07:21:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:21:13 AM  all    1.51    0.17    1.68    0.00    0.00    0.00    0.00    0.00    0.00   96.65
07:21:14 AM  all    0.50    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.41
07:21:15 AM  all    0.33    0.08    0.42    0.00    0.00    0.00    0.00    0.00    0.00   99.16
07:21:16 AM  all    0.17    0.00    0.33    0.25    0.00    0.00    0.00    0.00    0.00   99.25
07:21:17 AM  all    0.17    0.00    0.34    0.00    0.00    0.08    0.00    0.00    0.00   99.41
07:21:18 AM  all    0.42    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.33
07:21:19 AM  all    0.25    0.00    0.33    0.00    0.00    0.08    0.00    0.00    0.00   99.33
07:21:20 AM  all    0.17    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.67
07:21:21 AM  all    0.42    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   98.91
07:21:22 AM  all    0.17    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:21:23 AM  all    0.17    0.08    0.42    0.00    0.00    0.00    0.00    0.00    0.00   99.33
07:21:24 AM  all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:21:25 AM  all    0.42    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   99.17
07:21:26 AM  all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:21:27 AM  all    1.17    0.00    0.84    0.59    0.00    0.00    0.00    0.00    0.00   97.40
07:21:28 AM  all    1.09    0.08    0.67    0.00    0.00    0.08    0.00    0.00    0.00   98.07
07:21:29 AM  all    0.75    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   98.66
07:21:30 AM  all    0.17    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.58
07:21:31 AM  all    0.34    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.50
07:21:32 AM  all    0.92    0.25    1.67    0.08    0.00    0.08    0.00    0.00    0.00   97.00
07:21:33 AM  all    0.33    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.42
07:21:34 AM  all    1.00    0.00    0.92    0.00    0.00    0.08    0.00    0.00    0.00   97.99
07:21:35 AM  all    5.72    0.00    1.85    0.00    0.00    0.00    0.00    0.00    0.00   92.43
07:21:36 AM  all    3.59    0.00    1.58    0.00    0.00    0.00    0.00    0.00    0.00   94.83
07:21:37 AM  all    3.54    0.00    2.62    0.00    0.00    0.00    0.00    0.00    0.00   93.84
07:21:38 AM  all    3.00    0.00    1.67    0.00    0.00    0.17    0.00    0.00    0.00   95.17
07:21:39 AM  all    0.83    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   98.75
07:21:40 AM  all    0.59    0.00    1.17    0.08    0.00    0.08    0.00    0.00    0.00   98.07
07:21:41 AM  all    0.92    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.33
07:21:42 AM  all    0.50    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.83
07:21:43 AM  all    0.33    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.17
