Linux 6.8.0-49-generic (samoy-pc) 	12/10/2024 	_x86_64_	(12 CPU)

08:48:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:48:13 AM  all   10.74    0.34    5.15   13.32    0.00    0.09    0.00    0.00    0.00   70.36
08:48:14 AM  all   10.20    0.09    4.03   13.88    0.00    0.00    0.00    0.00    0.00   71.81
08:48:15 AM  all   10.85    0.00    3.70   14.21    0.00    0.00    0.00    0.00    0.00   71.23
08:48:16 AM  all   11.77    0.00    3.95   13.32    0.00    0.00    0.00    0.00    0.00   70.96
08:48:17 AM  all   12.11    0.00    4.12   13.06    0.00    0.00    0.00    0.00    0.00   70.70
08:48:18 AM  all    9.29    0.00    3.35   13.84    0.00    0.00    0.00    0.00    0.00   73.52
08:48:19 AM  all   11.09    0.00    3.64   13.17    0.00    0.00    0.00    0.00    0.00   72.10
08:48:20 AM  all   11.31    0.17    3.43   13.28    0.00    0.09    0.00    0.00    0.00   71.72
08:48:21 AM  all    9.97    0.00    3.61   13.59    0.00    0.00    0.00    0.00    0.00   72.83
08:48:22 AM  all   11.10    0.00    3.87   13.51    0.00    0.00    0.00    0.00    0.00   71.51
08:48:23 AM  all   11.18    0.00    4.13   13.07    0.00    0.00    0.00    0.00    0.00   71.63
08:48:24 AM  all    8.75    0.00    3.26   13.46    0.00    0.00    0.00    0.00    0.00   74.53
08:48:25 AM  all    9.92    0.09    3.68   13.17    0.00    0.00    0.00    0.00    0.00   73.14
08:48:26 AM  all    9.59    0.09    2.94   13.39    0.00    0.00    0.00    0.00    0.00   74.01
08:48:27 AM  all    9.28    0.00    3.30   13.10    0.00    0.00    0.00    0.00    0.00   74.33
08:48:28 AM  all    9.90    0.00    3.61   12.91    0.00    0.00    0.00    0.00    0.00   73.58
08:48:29 AM  all   10.55    0.09    3.34   13.04    0.00    0.09    0.00    0.00    0.00   72.90
08:48:30 AM  all    9.40    0.00    3.28   13.46    0.00    0.00    0.00    0.00    0.00   73.86
08:48:31 AM  all   12.56    0.00    4.04   12.91    0.00    0.00    0.00    0.00    0.00   70.48
08:48:32 AM  all   12.43    0.00    3.68   12.77    0.00    0.09    0.00    0.00    0.00   71.04
08:48:33 AM  all   10.09    0.00    3.42   13.33    0.00    0.00    0.00    0.00    0.00   73.16
08:48:34 AM  all   12.22    0.09    3.79   12.48    0.00    0.09    0.00    0.00    0.00   71.34
08:48:35 AM  all   12.60    0.17    4.40   12.86    0.00    0.00    0.00    0.00    0.00   69.97
08:48:36 AM  all   12.33    0.00    4.22   12.33    0.00    0.00    0.00    0.00    0.00   71.12
08:48:37 AM  all    9.01    0.00    3.34   13.38    0.00    0.00    0.00    0.00    0.00   74.27
08:48:38 AM  all   12.00    0.00    3.48   12.87    0.00    0.00    0.00    0.00    0.00   71.65
08:48:39 AM  all   11.23    0.00    3.60   12.95    0.00    0.17    0.00    0.00    0.00   72.04
08:48:40 AM  all    9.70    0.00    2.86   12.99    0.00    0.00    0.00    0.00    0.00   74.46
08:48:41 AM  all    9.43    0.00    3.00   13.29    0.00    0.09    0.00    0.00    0.00   74.19
08:48:42 AM  all   17.56    0.09    3.53   13.25    0.00    0.00    0.00    0.00    0.00   65.58
08:48:43 AM  all   10.65    0.00    3.29   12.73    0.00    0.00    0.00    0.00    0.00   73.33
08:48:44 AM  all   10.66    0.00    3.12   12.56    0.00    0.09    0.00    0.00    0.00   73.57
08:48:45 AM  all   12.83    0.00    4.05   12.92    0.00    0.00    0.00    0.00    0.00   70.20
08:48:46 AM  all   13.21    0.17    3.45   12.69    0.00    0.00    0.00    0.00    0.00   70.47
08:48:47 AM  all   10.69    0.00    3.45   13.28    0.00    0.00    0.00    0.00    0.00   72.59
08:48:48 AM  all   12.10    0.00    3.89   12.27    0.00    0.00    0.00    0.00    0.00   71.74
08:48:49 AM  all   12.74    0.09    4.30   12.74    0.00    0.00    0.00    0.00    0.00   70.14
08:48:50 AM  all   12.41    0.00    3.82   12.67    0.00    0.00    0.00    0.00    0.00   71.09
08:48:51 AM  all   10.10    0.00    3.25   12.84    0.00    0.00    0.00    0.00    0.00   73.80
08:48:52 AM  all    8.70    0.17    2.99   13.31    0.00    0.09    0.00    0.00    0.00   74.74
08:48:53 AM  all    9.09    0.00    3.09   13.38    0.00    0.09    0.00    0.00    0.00   74.36
08:48:54 AM  all   11.14    0.09    3.22   12.71    0.00    0.00    0.00    0.00    0.00   72.85
08:48:55 AM  all   12.86    0.00    3.54   12.51    0.00    0.00    0.00    0.00    0.00   71.10
08:48:56 AM  all   13.01    0.09    4.31   12.58    0.00    0.00    0.00    0.00    0.00   70.03
08:48:57 AM  all   10.66    0.09    4.30   12.73    0.00    0.09    0.00    0.00    0.00   72.14
08:48:58 AM  all   12.44    0.00    3.80   12.35    0.00    0.00    0.00    0.00    0.00   71.42
08:48:59 AM  all   12.46    0.00    3.55   11.76    0.00    0.09    0.00    0.00    0.00   72.15
08:49:00 AM  all   13.08    0.00    4.30   11.88    0.00    0.00    0.00    0.00    0.00   70.74
