Linux 6.8.0-49-generic (samoy-pc) 	 	_x86_64_	(12 CPU)

08:59:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:59:12 AM  all    6.62    0.42    4.67   22.58    0.00    0.08    0.00    0.00    0.00   65.62
08:59:13 AM  all    6.17    0.00    3.52   19.64    0.00    0.09    0.00    0.00    0.00   70.58
08:59:14 AM  all    4.06    0.00    2.37   14.99    0.00    0.00    0.00    0.00    0.00   78.58
08:59:15 AM  all    4.90    0.00    3.04   15.54    0.00    0.00    0.00    0.00    0.00   76.52
08:59:16 AM  all    4.66    0.00    2.54   15.27    0.00    0.00    0.00    0.00    0.00   77.52
08:59:17 AM  all    4.43    0.00    2.98   14.72    0.00    0.00    0.00    0.00    0.00   77.87
08:59:18 AM  all    6.41    0.00    3.12   15.36    0.00    0.00    0.00    0.00    0.00   75.11
08:59:19 AM  all    5.84    0.00    2.88   13.37    0.00    0.08    0.00    0.00    0.00   77.83
08:59:20 AM  all    6.87    0.00    2.71   14.08    0.00    0.08    0.00    0.00    0.00   76.25
08:59:21 AM  all   12.71    0.00    3.64   12.29    0.00    0.00    0.00    0.00    0.00   71.36
08:59:22 AM  all    3.97    0.00    2.19   12.74    0.00    0.00    0.00    0.00    0.00   81.10
08:59:23 AM  all    3.97    0.00    2.70   13.67    0.00    0.00    0.00    0.00    0.00   79.66
08:59:24 AM  all    6.11    0.00    2.12   12.56    0.00    0.00    0.00    0.00    0.00   79.20
08:59:25 AM  all    4.33    0.00    2.46   13.99    0.00    0.08    0.00    0.00    0.00   79.13
08:59:26 AM  all    4.77    0.00    2.73   14.66    0.00    0.09    0.00    0.00    0.00   77.75
08:59:27 AM  all    4.59    0.00    2.47   14.20    0.00    0.00    0.00    0.00    0.00   78.74
08:59:28 AM  all    4.92    0.00    2.37   13.91    0.00    0.00    0.00    0.00    0.00   78.80
08:59:29 AM  all    5.17    0.00    2.54   13.98    0.00    0.00    0.00    0.00    0.00   78.31
08:59:30 AM  all    5.35    0.00    2.80   15.04    0.00    0.00    0.00    0.00    0.00   76.81
08:59:31 AM  all    4.40    0.00    2.20   12.76    0.00    0.08    0.00    0.00    0.00   80.56
08:59:32 AM  all    4.50    0.00    2.46   13.49    0.00    0.00    0.00    0.00    0.00   79.56
08:59:33 AM  all    6.24    0.00    2.87   12.82    0.00    0.00    0.00    0.00    0.00   78.08
08:59:34 AM  all    7.38    0.00    3.56   12.13    0.00    0.00    0.00    0.00    0.00   76.93
08:59:35 AM  all    8.43    0.00    4.34   11.32    0.00    0.00    0.00    0.00    0.00   75.91
08:59:36 AM  all    5.63    0.00    2.99   13.31    0.00    0.00    0.00    0.00    0.00   78.07
08:59:37 AM  all   10.31    0.00    3.38   13.61    0.00    0.00    0.00    0.00    0.00   72.70
08:59:38 AM  all    6.09    0.00    3.47   13.03    0.00    0.08    0.00    0.00    0.00   77.33
08:59:39 AM  all    7.10    0.00    2.99   14.46    0.00    0.09    0.00    0.00    0.00   75.36
08:59:40 AM  all    6.96    0.00    3.40   14.09    0.00    0.00    0.00    0.00    0.00   75.55
08:59:41 AM  all    5.70    0.00    3.66   13.96    0.00    0.00    0.00    0.00    0.00   76.68
08:59:42 AM  all    5.69    0.00    2.63   12.99    0.00    0.00    0.00    0.00    0.00   78.69
08:59:43 AM  all    6.12    0.00    3.49   13.01    0.00    0.00    0.00    0.00    0.00   77.38
08:59:44 AM  all    5.92    0.00    3.05   13.54    0.00    0.00    0.00    0.00    0.00   77.50
08:59:45 AM  all    6.10    0.00    3.05   12.54    0.00    0.08    0.00    0.00    0.00   78.22
08:59:46 AM  all    4.92    0.00    2.97   12.63    0.00    0.08    0.00    0.00    0.00   79.41
08:59:47 AM  all    5.96    0.00    3.15   12.51    0.00    0.00    0.00    0.00    0.00   78.38
08:59:48 AM  all    6.38    0.00    2.89   13.96    0.00    0.00    0.00    0.00    0.00   76.77
08:59:49 AM  all    5.70    0.00    3.32   13.86    0.00    0.09    0.00    0.00    0.00   77.04
08:59:50 AM  all    6.77    0.00    3.13   13.29    0.00    0.00    0.00    0.00    0.00   76.80
08:59:51 AM  all    9.20    0.00    5.28   11.84    0.00    0.00    0.00    0.00    0.00   73.68
08:59:52 AM  all   11.11    0.00    2.88   12.21    0.00    0.00    0.00    0.00    0.00   73.79
08:59:53 AM  all    4.73    0.00    2.87   12.09    0.00    0.00    0.00    0.00    0.00   80.30
08:59:54 AM  all    5.09    0.00    2.63   13.67    0.00    0.00    0.00    0.00    0.00   78.61
