Linux 6.8.0-49-generic (samoy-pc) 	12/09/2024 	_x86_64_	(12 CPU)

01:40:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:00 PM  all   14.46    0.43    4.36   16.17    0.00    0.17    0.00    0.00    0.00   64.41
01:41:01 PM  all    6.20    0.00    2.55   10.62    0.00    0.17    0.00    0.00    0.00   80.46
01:41:02 PM  all    3.88    0.00    2.53    8.60    0.00    0.25    0.00    0.00    0.00   84.74
01:41:03 PM  all    3.48    0.00    2.21    8.32    0.00    0.34    0.00    0.00    0.00   85.65
01:41:04 PM  all    4.09    0.00    2.30    8.94    0.00    0.17    0.00    0.00    0.00   84.50
01:41:05 PM  all    4.55    0.00    2.02    9.02    0.00    0.25    0.00    0.00    0.00   84.15
01:41:06 PM  all    9.19    0.00    2.70    9.70    0.00    0.34    0.00    0.00    0.00   78.08
01:41:07 PM  all    9.32    0.00    3.86    8.90    0.00    0.50    0.00    0.00    0.00   77.41
01:41:08 PM  all    6.57    0.00    3.92    8.62    0.00    0.09    0.00    0.00    0.00   80.80
01:41:09 PM  all   12.84    0.00    4.05    9.21    0.00    0.42    0.00    0.00    0.00   73.48
01:41:10 PM  all    7.71    0.00    3.73    7.79    0.00    0.42    0.00    0.00    0.00   80.36
01:41:11 PM  all    6.75    0.00    2.91    8.12    0.00    0.26    0.00    0.00    0.00   81.97
01:41:12 PM  all    4.50    0.00    2.29    9.08    0.00    0.17    0.00    0.00    0.00   83.97
01:41:13 PM  all    4.75    0.00    2.46    7.72    0.00    0.34    0.00    0.00    0.00   84.72
01:41:14 PM  all    3.79    0.00    1.94    8.35    0.00    0.25    0.00    0.00    0.00   85.67
01:41:15 PM  all    6.37    0.00    3.23    8.92    0.00    0.34    0.00    0.00    0.00   81.14
01:41:16 PM  all   16.85    0.00    4.60   11.32    0.00    0.17    0.00    0.00    0.00   67.06
01:41:17 PM  all   13.71    0.00    3.60   12.08    0.00    0.17    0.00    0.00    0.00   70.44
01:41:18 PM  all   14.29    0.00    3.91   11.99    0.00    0.09    0.00    0.00    0.00   69.73
01:41:19 PM  all   19.14    0.00    5.32   12.53    0.00    0.09    0.00    0.00    0.00   62.92
01:41:20 PM  all   19.03    0.00    7.17   11.69    0.00    0.09    0.00    0.00    0.00   62.03
01:41:21 PM  all   18.82    0.00    7.53   12.15    0.00    0.09    0.00    0.00    0.00   61.42
01:41:22 PM  all   14.89    0.00    3.91   12.94    0.00    0.09    0.00    0.00    0.00   68.17
01:41:23 PM  all   18.50    0.00    6.22   11.94    0.00    0.17    0.00    0.00    0.00   63.17
01:41:24 PM  all   17.28    0.00    5.53   11.83    0.00    0.17    0.00    0.00    0.00   65.19
01:41:25 PM  all   19.63    0.00    7.48   10.71    0.00    0.08    0.00    0.00    0.00   62.11
01:41:26 PM  all   15.95    0.00    5.77   11.87    0.00    0.25    0.00    0.00    0.00   66.16
01:41:27 PM  all   18.02    0.00    6.32   11.87    0.00    0.26    0.00    0.00    0.00   63.54
01:41:28 PM  all   15.36    0.00    4.10   11.52    0.00    0.09    0.00    0.00    0.00   68.94
01:41:29 PM  all   16.30    0.00    5.09   11.63    0.00    0.34    0.00    0.00    0.00   66.64
01:41:30 PM  all   18.61    0.00    4.89   10.98    0.00    0.43    0.00    0.00    0.00   65.09
01:41:31 PM  all   16.81    0.00    4.73   12.67    0.00    0.68    0.00    0.00    0.00   65.12
01:41:32 PM  all   12.57    0.00    3.76   11.63    0.00    0.43    0.00    0.00    0.00   71.60
01:41:33 PM  all   14.60    0.00    3.69   11.68    0.00    0.17    0.00    0.00    0.00   69.85
01:41:34 PM  all   16.64    0.00    5.86   11.81    0.00    0.34    0.00    0.00    0.00   65.34
01:41:35 PM  all   17.48    0.00    5.23   12.25    0.00    0.51    0.00    0.00    0.00   64.52
01:41:36 PM  all   12.16    0.00    3.74   13.10    0.00    0.09    0.00    0.00    0.00   70.92
01:41:37 PM  all   12.92    0.00    3.51   11.46    0.00    0.17    0.00    0.00    0.00   71.94
01:41:38 PM  all   15.19    0.00    4.03   11.85    0.00    0.09    0.00    0.00    0.00   68.84
01:41:39 PM  all   16.49    0.00    4.21   11.34    0.00    0.17    0.00    0.00    0.00   67.78
01:41:40 PM  all   16.92    0.00    4.12   11.34    0.00    0.09    0.00    0.00    0.00   67.53
01:41:41 PM  all   13.86    0.00    3.79   11.79    0.00    0.09    0.00    0.00    0.00   70.48
01:41:42 PM  all   15.40    0.00    4.11   10.78    0.00    0.17    0.00    0.00    0.00   69.55
01:41:43 PM  all   14.51    0.00    4.35   11.86    0.00    0.17    0.00    0.00    0.00   69.11
01:41:44 PM  all   14.69    0.00    4.24   10.72    0.00    0.17    0.00    0.00    0.00   70.18
01:41:45 PM  all   15.09    0.00    4.37   12.18    0.00    0.17    0.00    0.00    0.00   68.18
01:41:46 PM  all   14.51    0.00    3.92   11.18    0.00    0.17    0.00    0.00    0.00   70.22
01:41:47 PM  all   13.83    0.00    3.78   10.57    0.00    0.17    0.00    0.00    0.00   71.65
01:41:48 PM  all   14.82    0.00    4.00   10.99    0.00    0.09    0.00    0.00    0.00   70.10
01:41:49 PM  all   16.60    0.00    5.70   11.57    0.00    0.17    0.00    0.00    0.00   65.96
01:41:50 PM  all   15.05    0.00    4.30   11.01    0.00    0.09    0.00    0.00    0.00   69.56
01:41:51 PM  all   16.88    0.00    4.01   11.08    0.00    0.09    0.00    0.00    0.00   67.95
01:41:52 PM  all   14.09    0.00    3.95   11.77    0.00    0.00    0.00    0.00    0.00   70.19
01:41:53 PM  all   15.13    0.00    4.02   10.68    0.00    0.17    0.00    0.00    0.00   70.00
01:41:54 PM  all   13.91    0.00    3.52   10.56    0.00    0.26    0.00    0.00    0.00   71.76
01:41:55 PM  all   17.11    0.00    6.16   11.38    0.00    0.09    0.00    0.00    0.00   65.27
01:41:56 PM  all   14.48    0.00    3.71   11.12    0.00    0.26    0.00    0.00    0.00   70.43
01:41:57 PM  all   14.68    0.00    4.18   10.58    0.00    0.26    0.00    0.00    0.00   70.31
01:41:58 PM  all   14.64    0.00    4.45   11.22    0.00    0.09    0.00    0.00    0.00   69.61
01:41:59 PM  all   14.48    0.00    4.34   11.24    0.00    0.09    0.00    0.00    0.00   69.85
01:42:00 PM  all   14.19    0.00    3.87   10.92    0.00    0.17    0.00    0.00    0.00   70.85
01:42:01 PM  all   12.36    0.00    4.55   10.21    0.00    0.00    0.00    0.00    0.00   72.88
01:42:02 PM  all   12.28    0.00    3.15    9.80    0.00    0.26    0.00    0.00    0.00   74.51
01:42:03 PM  all   14.59    0.00    4.01   11.18    0.00    0.09    0.00    0.00    0.00   70.14
01:42:04 PM  all   13.73    0.00    4.01   10.66    0.00    0.09    0.00    0.00    0.00   71.53
01:42:05 PM  all   14.03    0.00    3.68   11.63    0.00    0.09    0.00    0.00    0.00   70.57
01:42:06 PM  all   13.86    0.00    3.70   10.67    0.00    0.09    0.00    0.00    0.00   71.69
01:42:07 PM  all   14.36    0.00    4.02   10.51    0.00    0.34    0.00    0.00    0.00   70.77
01:42:08 PM  all   14.32    0.00    3.69   10.81    0.00    0.09    0.00    0.00    0.00   71.10
01:42:09 PM  all   13.97    0.00    3.77   10.63    0.00    0.17    0.00    0.00    0.00   71.47
01:42:10 PM  all   14.91    0.00    4.51   11.24    0.00    0.09    0.00    0.00    0.00   69.25
01:42:11 PM  all   14.95    0.00    4.47   11.08    0.00    0.00    0.00    0.00    0.00   69.50
01:42:12 PM  all   13.99    0.00    4.18   11.69    0.00    0.09    0.00    0.00    0.00   70.05
01:42:13 PM  all   12.54    0.00    3.33   10.24    0.00    0.26    0.00    0.00    0.00   73.63
01:42:14 PM  all   14.63    0.00    3.87   11.10    0.00    0.17    0.00    0.00    0.00   70.22
01:42:15 PM  all   13.48    0.00    3.78   10.73    0.00    0.17    0.00    0.00    0.00   71.85
01:42:16 PM  all   13.12    0.00    3.66   10.31    0.00    0.17    0.00    0.00    0.00   72.74
01:42:17 PM  all   15.22    0.00    3.44   10.83    0.00    0.09    0.00    0.00    0.00   70.42
01:42:18 PM  all   13.28    0.00    3.60   10.54    0.00    0.17    0.00    0.00    0.00   72.41
01:42:19 PM  all   16.81    0.00    3.84   10.58    0.00    0.34    0.00    0.00    0.00   68.43
01:42:20 PM  all   14.32    0.00    3.86   10.98    0.00    0.09    0.00    0.00    0.00   70.75
01:42:21 PM  all   13.74    0.00    3.84   11.18    0.00    0.09    0.00    0.00    0.00   71.16
01:42:22 PM  all   13.40    0.00    4.44   10.58    0.00    0.09    0.00    0.00    0.00   71.50
01:42:23 PM  all   13.70    0.00    4.45   10.79    0.00    0.17    0.00    0.00    0.00   70.89
