Linux 6.8.0-49-generic (samoy-pc) 	_x86_64_	(12 CPU)

07:54:43 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:54:44 AM  all    9.35    0.34    5.57   16.21    0.00    0.00    0.00    0.00    0.00   68.52
07:54:45 AM  all    8.19    0.00    4.35   15.78    0.00    0.09    0.00    0.00    0.00   71.59
07:54:46 AM  all    7.78    0.00    3.85   16.00    0.00    0.09    0.00    0.00    0.00   72.28
07:54:47 AM  all    8.32    0.00    3.90   15.53    0.00    0.08    0.00    0.00    0.00   72.16
07:54:48 AM  all    8.09    0.00    3.57   15.15    0.00    0.00    0.00    0.00    0.00   73.19
07:54:49 AM  all    7.40    0.00    3.27   15.32    0.00    0.09    0.00    0.00    0.00   73.92
07:54:50 AM  all    9.05    0.00    3.67   14.69    0.00    0.00    0.00    0.00    0.00   72.59
07:54:51 AM  all   12.07    0.00    4.73   13.84    0.00    0.00    0.00    0.00    0.00   69.37
07:54:52 AM  all   10.74    0.00    4.18   13.38    0.00    0.00    0.00    0.00    0.00   71.70
07:54:53 AM  all   12.44    0.00    4.77   13.37    0.00    0.00    0.00    0.00    0.00   69.42
07:54:54 AM  all   12.83    0.00    4.84   13.68    0.00    0.08    0.00    0.00    0.00   68.56
07:54:55 AM  all   12.66    0.00    4.67   13.17    0.00    0.00    0.00    0.00    0.00   69.50
07:54:56 AM  all   10.40    0.00    4.60   13.38    0.00    0.00    0.00    0.00    0.00   71.61
07:54:57 AM  all    9.92    0.00    4.28   13.94    0.00    0.00    0.00    0.00    0.00   71.86
07:54:58 AM  all   10.58    0.00    3.35   13.50    0.00    0.00    0.00    0.00    0.00   72.57
07:54:59 AM  all   10.71    0.00    4.20   13.71    0.00    0.00    0.00    0.00    0.00   71.38
07:55:00 AM  all   15.23    0.00    4.09   12.85    0.00    0.00    0.00    0.00    0.00   67.83
07:55:01 AM  all    9.19    0.00    4.09   13.36    0.00    0.09    0.00    0.00    0.00   73.28
07:55:02 AM  all   12.31    0.00    4.44   13.08    0.00    0.00    0.00    0.00    0.00   70.17
07:55:03 AM  all   12.84    0.00    4.11   12.76    0.00    0.00    0.00    0.00    0.00   70.29
07:55:04 AM  all   10.32    0.00    3.35   13.41    0.00    0.00    0.00    0.00    0.00   72.91
07:55:05 AM  all   13.63    0.00    3.49   13.03    0.00    0.00    0.00    0.00    0.00   69.85
07:55:06 AM  all   12.51    0.00    3.80   12.86    0.00    0.00    0.00    0.00    0.00   70.84
07:55:07 AM  all   10.18    0.00    3.28   13.20    0.00    0.00    0.00    0.00    0.00   73.34
07:55:08 AM  all   11.04    0.00    4.11   12.93    0.00    0.17    0.00    0.00    0.00   71.75
07:55:09 AM  all   12.61    0.00    4.34   13.12    0.00    0.00    0.00    0.00    0.00   69.93
07:55:10 AM  all   16.88    0.00    5.68   12.30    0.00    0.00    0.00    0.00    0.00   65.14
07:55:11 AM  all    9.22    0.00    3.58   13.14    0.00    0.00    0.00    0.00    0.00   74.06
07:55:12 AM  all   10.34    0.00    3.39   13.14    0.00    0.00    0.00    0.00    0.00   73.14
07:55:13 AM  all    9.27    0.00    3.40   13.01    0.00    0.09    0.00    0.00    0.00   74.23
07:55:14 AM  all    8.87    0.00    3.07   13.38    0.00    0.09    0.00    0.00    0.00   74.60
07:55:15 AM  all    9.06    0.00    3.81   13.12    0.00    0.00    0.00    0.00    0.00   74.01
07:55:16 AM  all    9.18    0.00    2.98   13.44    0.00    0.00    0.00    0.00    0.00   74.40
07:55:17 AM  all    9.27    0.00    3.15   13.18    0.00    0.00    0.00    0.00    0.00   74.40
07:55:18 AM  all    9.63    0.00    4.26   12.69    0.00    0.00    0.00    0.00    0.00   73.42
07:55:19 AM  all   10.53    0.00    3.25   12.76    0.00    0.09    0.00    0.00    0.00   73.37
07:55:20 AM  all   11.05    0.00    3.86   13.02    0.00    0.00    0.00    0.00    0.00   72.07
07:55:21 AM  all   12.57    0.00    3.06   12.74    0.00    0.08    0.00    0.00    0.00   71.54
07:55:22 AM  all   11.44    0.00    4.30   12.04    0.00    0.00    0.00    0.00    0.00   72.23
