Linux 6.8.0-49-generic (samoy-pc) 	12/10/2024 	_x86_64_	(12 CPU)

08:19:03 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:04 AM  all    6.56    0.09    4.66   25.13    0.00    0.00    0.00    0.00    0.00   63.56
08:19:05 AM  all    6.52    0.09    4.63   25.81    0.00    0.09    0.00    0.00    0.00   62.86
08:19:06 AM  all    5.82    0.00    4.11   25.94    0.00    0.09    0.00    0.00    0.00   64.04
08:19:07 AM  all    9.85    0.00    4.49   25.84    0.00    0.00    0.00    0.00    0.00   59.81
08:19:08 AM  all   11.80    0.00    5.17   22.65    0.00    0.00    0.00    0.00    0.00   60.38
08:19:09 AM  all   10.24    0.00    6.37   23.06    0.00    0.00    0.00    0.00    0.00   60.33
08:19:10 AM  all    8.92    0.09    5.80   23.81    0.00    0.00    0.00    0.00    0.00   61.39
08:19:11 AM  all   14.10    0.00    6.06   20.76    0.00    0.00    0.00    0.00    0.00   59.08
08:19:12 AM  all   10.19    0.00    5.01   21.50    0.00    0.00    0.00    0.00    0.00   63.30
08:19:13 AM  all   10.00    0.09    5.26   20.34    0.00    0.00    0.00    0.00    0.00   64.31
08:19:14 AM  all   10.65    0.00    4.59   19.91    0.00    0.00    0.00    0.00    0.00   64.85
08:19:15 AM  all    9.72    0.00    4.82   20.74    0.00    0.00    0.00    0.00    0.00   64.72
08:19:16 AM  all   12.18    0.00    5.87   19.34    0.00    0.00    0.00    0.00    0.00   62.61
08:19:17 AM  all   10.47    0.00    5.54   19.64    0.00    0.17    0.00    0.00    0.00   64.19
08:19:18 AM  all    9.25    0.09    4.93   20.31    0.00    0.00    0.00    0.00    0.00   65.43
08:19:19 AM  all   15.91    0.00    5.42   18.14    0.00    0.00    0.00    0.00    0.00   60.53
08:19:20 AM  all   11.73    0.00    5.18   18.81    0.00    0.00    0.00    0.00    0.00   64.28
08:19:21 AM  all   10.57    0.00    4.51   18.46    0.00    0.00    0.00    0.00    0.00   66.46
08:19:22 AM  all   11.64    0.00    4.60   18.59    0.00    0.00    0.00    0.00    0.00   65.16
08:19:23 AM  all   12.64    0.09    5.33   18.57    0.00    0.09    0.00    0.00    0.00   63.28
08:19:24 AM  all   11.81    0.00    5.47   18.14    0.00    0.00    0.00    0.00    0.00   64.58
08:19:25 AM  all   12.09    0.00    5.32   18.27    0.00    0.09    0.00    0.00    0.00   64.24
08:19:26 AM  all   12.11    0.09    5.62   17.73    0.00    0.00    0.00    0.00    0.00   64.45
08:19:27 AM  all   12.47    0.00    5.11   18.01    0.00    0.00    0.00    0.00    0.00   64.42
08:19:28 AM  all   12.11    0.00    5.71   17.91    0.00    0.00    0.00    0.00    0.00   64.27
08:19:29 AM  all   11.46    0.00    4.82   18.26    0.00    0.00    0.00    0.00    0.00   65.46
08:19:30 AM  all   11.13    0.00    5.26   17.77    0.00    0.17    0.00    0.00    0.00   65.66
08:19:31 AM  all   21.65    0.00    6.44   15.81    0.00    0.00    0.00    0.00    0.00   56.10
08:19:32 AM  all   11.36    0.00    4.94   17.26    0.00    0.00    0.00    0.00    0.00   66.44
08:19:33 AM  all   11.32    0.09    4.37   17.50    0.00    0.00    0.00    0.00    0.00   66.72
08:19:34 AM  all   16.16    0.00    5.15   16.42    0.00    0.00    0.00    0.00    0.00   62.27
08:19:35 AM  all   16.01    0.00    5.34   16.87    0.00    0.09    0.00    0.00    0.00   61.70
08:19:36 AM  all   13.45    0.00    5.48   18.34    0.00    0.00    0.00    0.00    0.00   62.72
08:19:37 AM  all   10.14    0.09    5.20   20.02    0.00    0.00    0.00    0.00    0.00   64.56
08:19:38 AM  all    9.63    0.00    4.73   19.78    0.00    0.09    0.00    0.00    0.00   65.78
08:19:39 AM  all    9.94    0.00    5.10   19.53    0.00    0.00    0.00    0.00    0.00   65.43
08:19:40 AM  all   14.08    0.00    5.79   18.83    0.00    0.00    0.00    0.00    0.00   61.31
08:19:41 AM  all   14.92    0.00    5.46   18.73    0.00    0.00    0.00    0.00    0.00   60.88
08:19:42 AM  all   18.50    0.09    5.79   17.89    0.00    0.00    0.00    0.00    0.00   57.74
08:19:43 AM  all   11.32    0.00    5.40   19.13    0.00    0.09    0.00    0.00    0.00   64.07
08:19:44 AM  all    9.24    0.00    4.84   19.60    0.00    0.00    0.00    0.00    0.00   66.32
08:19:45 AM  all    9.07    0.00    4.66   20.21    0.00    0.09    0.00    0.00    0.00   65.98
