Linux 6.8.0-49-generic (samoy-pc) 	12/10/2024 	_x86_64_	(12 CPU)

07:51:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:51:19 AM  all   10.07    0.43    5.29   13.74    0.00    0.00    0.00    0.00    0.00   70.48
07:51:20 AM  all    8.31    0.00    3.68   14.57    0.00    0.00    0.00    0.00    0.00   73.44
07:51:21 AM  all   12.51    0.09    4.60   13.79    0.00    0.09    0.00    0.00    0.00   68.94
07:51:22 AM  all   11.78    0.00    3.93   13.75    0.00    0.00    0.00    0.00    0.00   70.54
07:51:23 AM  all    9.88    0.00    3.52   13.66    0.00    0.00    0.00    0.00    0.00   72.94
07:51:24 AM  all   10.11    0.00    3.60   13.62    0.00    0.00    0.00    0.00    0.00   72.66
07:51:25 AM  all   13.06    0.00    5.15   12.80    0.00    0.09    0.00    0.00    0.00   68.90
07:51:26 AM  all   14.90    0.00    5.57   12.50    0.00    0.00    0.00    0.00    0.00   67.04
07:51:27 AM  all   21.50    0.00   10.79   11.49    0.00    0.00    0.00    0.00    0.00   56.22
07:51:28 AM  all   27.24    0.00   11.12   11.90    0.00    0.00    0.00    0.00    0.00   49.74
07:51:29 AM  all   25.06    0.00   11.89   11.71    0.00    0.00    0.00    0.00    0.00   51.34
07:51:30 AM  all   22.50    0.00   11.21   11.47    0.00    0.00    0.00    0.00    0.00   54.83
07:51:31 AM  all   26.18    0.00   10.68   11.63    0.00    0.00    0.00    0.00    0.00   51.51
07:51:32 AM  all   24.05    0.00   11.34   11.34    0.00    0.00    0.00    0.00    0.00   53.26
07:51:33 AM  all   22.20    0.00   10.93   11.88    0.00    0.00    0.00    0.00    0.00   54.99
07:51:34 AM  all   26.53    0.00   11.54   11.54    0.00    0.17    0.00    0.00    0.00   50.22
07:51:35 AM  all   20.55    0.00   10.45   11.90    0.00    0.00    0.00    0.00    0.00   57.11
07:51:36 AM  all   24.12    0.00    9.22   12.06    0.00    0.00    0.00    0.00    0.00   54.61
07:51:37 AM  all   22.69    0.00   11.13   11.56    0.00    0.00    0.00    0.00    0.00   54.62
07:51:38 AM  all   20.43    0.00   12.48   12.22    0.00    0.00    0.00    0.00    0.00   54.87
07:51:39 AM  all   24.07    0.09    9.49   11.65    0.00    0.00    0.00    0.00    0.00   54.70
07:51:40 AM  all   24.53    0.00   11.27   11.19    0.00    0.00    0.00    0.00    0.00   53.01
07:51:41 AM  all   21.00    0.00    8.61   11.70    0.00    0.00    0.00    0.00    0.00   58.69
07:51:42 AM  all   23.67    0.00   11.53   11.70    0.00    0.09    0.00    0.00    0.00   53.01
07:51:43 AM  all   21.53    0.00   12.61   12.35    0.00    0.00    0.00    0.00    0.00   53.52
07:51:44 AM  all   21.78    0.00   10.29   11.58    0.00    0.00    0.00    0.00    0.00   56.35
07:51:45 AM  all   23.69    0.00   10.04   11.33    0.00    0.00    0.00    0.00    0.00   54.94
07:51:46 AM  all   22.36    0.00   11.53   11.44    0.00    0.00    0.00    0.00    0.00   54.68
07:51:47 AM  all   20.84    0.00    9.86   12.09    0.00    0.09    0.00    0.00    0.00   57.12
07:51:48 AM  all   26.10    0.00    9.47   11.54    0.00    0.00    0.00    0.00    0.00   52.89
07:51:49 AM  all   23.14    0.09   11.83   11.05    0.00    0.00    0.00    0.00    0.00   53.90
07:51:50 AM  all   21.70    0.00   10.21   11.84    0.00    0.00    0.00    0.00    0.00   56.26
07:51:51 AM  all   23.74    0.09   11.96   11.53    0.00    0.00    0.00    0.00    0.00   52.69
